playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
allisar01,1871,1,CL1,NA,29,137,28,40,4,5,0,19,3,1,2,5,,,,,1
ansonca01,1871,1,RC1,NA,25,120,29,39,11,3,0,16,6,2,2,1,,,,,0
prattal01,1871,1,CL1,NA,29,130,31,34,6,8,0,20,1,0,1,0,,,,,2
smithch01,1871,1,NY2,NA,14,72,15,19,2,1,0,5,6,0,1,1,,,,,0
whitede01,1871,1,CL1,NA,29,146,40,47,6,5,1,21,2,2,4,1,,,,,0
allisar01,1872,1,CL1,NA,19,87,13,23,4,0,0,8,0,0,0,2,,,,,1
ansonca01,1872,1,PH1,NA,46,217,60,90,10,7,0,48,6,6,16,3,,,,,2
gedneco01,1872,1,TRO,NA,9,47,14,20,3,0,3,18,1,0,0,0,,,,,0
gedneco01,1872,2,BR1,NA,18,71,5,13,1,0,0,6,2,2,0,3,,,,,0
prattal01,1872,1,CL1,NA,16,65,10,18,0,1,0,12,0,0,0,1,,,,,0
thakeal01,1872,1,BR2,NA,18,78,14,23,2,2,0,15,2,0,0,2,,,,,1
whitede01,1872,1,CL1,NA,22,109,21,37,2,2,0,22,0,0,4,1,,,,,0
allisar01,1873,1,ELI,NA,23,100,12,32,2,0,0,11,0,0,0,2,,,,,0
ansonca01,1873,1,PH1,NA,52,254,53,101,9,2,0,36,1,2,5,2,,,,,2
gedneco01,1873,1,NY2,NA,53,225,41,60,5,5,1,24,1,0,6,4,,,,,3
whitede01,1873,1,BS1,NA,60,311,79,122,17,8,1,77,19,3,0,2,,,,,1
ansonca01,1874,1,PH1,NA,55,260,51,87,8,3,0,37,6,0,4,1,,,,,1
gedneco01,1874,1,PH1,NA,54,222,49,61,4,1,1,34,2,2,7,11,,,,,2
whitede01,1874,1,BS1,NA,70,352,75,106,5,7,3,52,1,1,5,0,,,,,5
allisar01,1875,1,WS6,NA,26,112,18,24,3,1,0,3,6,0,1,2,,,,,2
allisar01,1875,2,HR1,NA,40,175,26,42,4,1,1,19,1,2,0,3,,,,,0
ansonca01,1875,1,PH1,NA,69,326,84,106,15,3,0,58,11,6,4,2,,,,,1
galvipu01,1875,1,SL2,NA,13,46,8,6,2,1,0,2,3,0,0,1,,,,,1
gedneco01,1875,1,NY2,NA,68,267,30,55,12,2,0,17,2,3,0,8,,,,,0
whitede01,1875,1,BS1,NA,80,371,76,136,23,3,1,60,2,3,3,2,,,,,2
allisar01,1876,1,LS1,NL,31,130,9,27,2,1,0,10,,,2,6,,,,,
ansonca01,1876,1,CHN,NL,66,309,63,110,9,7,2,59,,,12,8,,,,,
whitede01,1876,1,CHN,NL,66,303,66,104,18,1,1,60,,,7,3,,,,,
ansonca01,1877,1,CHN,NL,59,255,52,86,19,1,0,32,,,9,3,,,,,
whitede01,1877,1,BSN,NL,59,266,51,103,14,11,2,49,,,8,3,,,,,
ansonca01,1878,1,CHN,NL,60,261,55,89,12,2,0,40,,,13,1,,,,,
wardjo01,1878,1,PRO,NL,37,138,14,27,5,4,1,15,,,2,13,,,,,
whitede01,1878,1,CN1,NL,61,258,41,81,4,1,0,29,,,10,5,,,,,
ansonca01,1879,1,CHN,NL,51,227,40,72,20,1,0,34,,,2,2,,,,,
broutda01,1879,1,TRN,NL,39,168,17,46,12,1,4,17,,,1,18,,,,,
galvipu01,1879,1,BFN,NL,67,265,34,66,11,6,0,27,,,1,56,,,,,
phillbi01,1879,1,CL2,NL,81,365,58,99,15,4,0,29,,,2,20,,,,,
wardjo01,1879,1,PRO,NL,83,364,71,104,9,4,2,41,,,7,14,,,,,
whitede01,1879,1,CN1,NL,78,333,55,110,16,6,1,52,,,6,9,,,,,
ansonca01,1880,1,CHN,NL,86,356,54,120,24,1,1,74,,,14,12,,,,,
broutda01,1880,1,TRN,NL,3,12,0,2,0,0,0,1,,,1,0,,,,,
ewingbu01,1880,1,TRN,NL,13,45,1,8,1,0,0,5,,,1,3,,,,,
galvipu01,1880,1,BFN,NL,66,241,25,51,9,2,0,12,,,5,57,,,,,
phillbi01,1880,1,CL2,NL,85,334,41,85,14,10,1,36,,,6,29,,,,,
wardjo01,1880,1,PRO,NL,86,356,53,81,12,2,0,27,,,6,16,,,,,
whitede01,1880,1,CN1,NL,35,141,21,42,4,2,0,7,,,9,7,,,,,
ansonca01,1881,1,CHN,NL,84,343,67,137,21,7,1,82,,,26,4,,,,,
broutda01,1881,1,BFN,NL,65,270,60,86,18,9,8,45,,,18,22,,,,,
ewingbu01,1881,1,TRN,NL,67,272,40,68,14,7,0,25,,,7,8,,,,,
galvipu01,1881,1,BFN,NL,62,236,19,50,12,4,0,21,,,3,70,,,,,
phillbi01,1881,1,CL2,NL,85,357,51,97,18,10,1,44,,,5,19,,,,,
wardjo01,1881,1,PRO,NL,85,357,56,87,18,6,0,53,,,5,10,,,,,
whitede01,1881,1,BFN,NL,78,319,58,99,24,4,0,53,,,9,8,,,,,
ansonca01,1882,1,CHN,NL,82,348,69,126,29,8,1,83,,,20,7,,,,,
broutda01,1882,1,BFN,NL,84,351,71,129,23,11,6,63,,,21,7,,,,,
brownpe01,1882,1,LS2,AA,69,288,67,109,17,3,5,,,,26,,,,,,
ewingbu01,1882,1,TRN,NL,74,328,67,89,16,11,2,29,,,10,15,,,,,
galvipu01,1882,1,BFN,NL,54,206,21,44,7,4,0,17,,,2,49,,,,,
phillbi01,1882,1,CL2,NL,78,335,40,87,17,7,4,47,,,7,18,,,,,
wardjo01,1882,1,PRO,NL,83,355,58,87,10,3,1,39,,,13,22,,,,,
whitede01,1882,1,BFN,NL,83,337,51,95,17,0,1,33,,,15,16,,,,,
ansonca01,1883,1,CHN,NL,98,413,70,127,36,5,0,68,,,18,9,,,,,
broutda01,1883,1,BFN,NL,98,425,85,159,41,17,3,97,,,16,17,,,,,
brownpe01,1883,1,LS2,AA,84,358,95,121,15,9,4,,,,23,,,,,,
ewingbu01,1883,1,NY1,NL,88,376,90,114,11,13,10,41,,,20,14,,,,,
galvipu01,1883,1,BFN,NL,80,322,41,71,11,2,1,19,,,3,79,,,,,
phillbi01,1883,1,CL2,NL,97,382,42,94,29,8,2,40,,,8,49,,,,,
wardjo01,1883,1,NY1,NL,88,380,76,97,18,7,7,54,,,8,25,,,,,
whitede01,1883,1,BFN,NL,94,391,62,114,14,5,0,47,,,23,18,,,,,
ansonca01,1884,1,CHN,NL,112,475,108,159,30,3,21,102,,,29,13,,,,,
broutda01,1884,1,BFN,NL,94,398,82,130,22,15,14,79,,,33,20,,,,,
brownpe01,1884,1,LS2,AA,103,447,101,150,33,8,4,47,,,13,,,2,,,
ewingbu01,1884,1,NY1,NL,94,382,90,106,15,20,3,41,,,28,22,,,,,
galvipu01,1884,1,BFN,NL,72,274,34,49,6,1,0,24,,,2,80,,,,,
phillbi01,1884,1,CL2,NL,111,464,58,128,25,12,3,46,,,18,80,,,,,
wardjo01,1884,1,NY1,NL,113,482,98,122,11,8,2,51,,,28,47,,,,,
whitede01,1884,1,BFN,NL,110,452,82,147,16,11,5,74,,,32,13,,,,,
ansonca01,1885,1,CHN,NL,112,464,100,144,35,7,7,108,,,34,13,,,,,
broutda01,1885,1,BFN,NL,98,407,87,146,32,11,7,59,,,34,10,,,,,
brownpe01,1885,1,LS2,AA,112,481,98,174,34,10,9,73,,,25,,,0,,,
ewingbu01,1885,1,NY1,NL,81,342,81,104,15,12,6,63,,,13,17,,,,,
galvipu01,1885,1,BFN,NL,33,122,14,23,4,2,1,10,,,1,27,,,,,
galvipu01,1885,2,PT1,AA,11,38,2,4,0,0,0,2,,,0,,,0,,,
phillbi01,1885,1,BR3,AA,99,391,65,118,16,11,3,63,,,27,,,11,,,
wardjo01,1885,1,NY1,NL,111,446,72,101,8,9,0,37,,,17,39,,,,,
whitede01,1885,1,BFN,NL,98,404,54,118,6,6,0,57,,,12,11,,,,,
ansonca01,1886,1,CHN,NL,125,504,117,187,35,11,10,147,29,,55,19,,,,,
broutda01,1886,1,DTN,NL,121,489,139,181,40,15,11,72,21,,66,16,,,,,
brownpe01,1886,1,LS2,AA,112,467,86,159,29,6,2,68,26,,30,,,7,,,
ewingbu01,1886,1,NY1,NL,73,275,59,85,11,7,4,31,18,,16,17,,,,,
galvipu01,1886,1,PT1,AA,50,194,24,49,7,2,0,21,8,,3,,,0,,,
phillbi01,1886,1,BR3,AA,141,585,68,160,26,15,0,72,13,,33,,,1,,,
wardjo01,1886,1,NY1,NL,122,491,82,134,17,5,2,81,36,,19,46,,,,,
whitede01,1886,1,DTN,NL,124,491,65,142,19,5,1,76,9,,31,35,,,,,
ansonca01,1887,1,CHN,NL,122,472,107,164,33,13,7,102,27,,60,18,,1,,,
broutda01,1887,1,DTN,NL,123,500,153,169,36,20,12,101,34,,71,9,,6,,,
brownpe01,1887,1,LS2,AA,134,547,137,220,35,16,4,118,103,,55,39,,8,,,
ewingbu01,1887,1,NY1,NL,77,318,83,97,17,13,6,44,26,,30,33,,3,,,
galvipu01,1887,1,PIT,NL,49,193,10,41,7,3,2,22,5,,2,47,,0,,,
phillbi01,1887,1,BR3,AA,132,533,82,142,34,11,2,101,16,,45,30,,6,,,
wardjo01,1887,1,NY1,NL,129,545,114,184,16,5,1,53,111,,29,12,,4,,,
whitede01,1887,1,DTN,NL,111,449,71,136,20,11,3,75,20,,26,15,,9,,,
ansonca01,1888,1,CHN,NL,134,515,101,177,20,12,12,84,28,,47,24,,1,,,
broutda01,1888,1,DTN,NL,129,522,118,160,33,11,9,66,34,,68,13,,12,,,
brownpe01,1888,1,LS2,AA,99,383,58,120,22,8,3,72,36,,37,38,,4,,,
ewingbu01,1888,1,NY1,NL,103,415,83,127,18,15,6,58,53,,24,28,,3,,,
galvipu01,1888,1,PIT,NL,50,175,6,25,1,1,1,3,4,,1,51,,0,,,
phillbi01,1888,1,KC2,AA,129,509,57,120,20,10,1,56,10,,27,50,,7,,,
wardjo01,1888,1,NY1,NL,122,510,70,128,14,5,2,49,38,,9,13,,1,,,
whitede01,1888,1,DTN,NL,125,527,75,157,22,5,4,71,12,,21,24,,9,,,
ansonca01,1889,1,CHN,NL,134,518,100,177,32,7,7,117,27,,86,19,,5,,,
broutda01,1889,1,BSN,NL,126,485,105,181,26,9,7,118,22,,66,6,,14,,,
brownpe01,1889,1,LS2,AA,83,324,39,83,19,5,2,32,21,,34,30,,0,,,
ewingbu01,1889,1,NY1,NL,99,407,91,133,23,13,4,87,34,,37,32,,0,,,
galvipu01,1889,1,PIT,NL,41,150,15,28,7,2,0,16,2,,3,46,,0,,,
wardjo01,1889,1,NY1,NL,114,479,87,143,13,4,1,67,62,,27,7,,2,,,
whitede01,1889,1,PIT,NL,55,225,35,57,10,1,0,26,2,,16,18,,4,,,
ansonca01,1890,1,CHN,NL,139,504,95,157,14,5,7,107,29,,113,23,,6,,,
broutda01,1890,1,BSP,PL,126,475,123,159,38,10,2,102,29,,99,17,,18,,,
brownpe01,1890,1,CLP,PL,118,493,112,184,40,8,5,93,35,,75,36,,3,,,
ewingbu01,1890,1,NYP,PL,83,352,98,119,19,15,8,72,36,,39,12,,1,,,
galvipu01,1890,1,PTP,PL,26,97,8,20,2,1,0,12,1,,6,20,,0,,,
wardjo01,1890,1,BRP,PL,128,561,134,188,15,12,4,60,63,,51,22,,2,,,
whitede01,1890,1,BFP,PL,122,439,62,114,13,4,0,47,3,,67,30,,19,,,
ansonca01,1891,1,CHN,NL,136,540,81,157,24,8,8,120,17,,75,29,,1,,,
broutda01,1891,1,BS2,AA,130,486,117,170,26,19,5,109,31,,87,20,,24,,,
brownpe01,1891,1,PIT,NL,50,203,35,59,14,1,4,28,4,,27,31,,1,,,
brownpe01,1891,2,CIN,NL,55,216,29,74,10,3,0,33,12,,24,23,,2,,,
ewingbu01,1891,1,NY1,NL,14,49,8,17,2,1,0,18,5,,5,5,,0,,,
galvipu01,1891,1,PIT,NL,33,109,11,18,0,0,0,7,0,,3,29,,2,,,
wardjo01,1891,1,BRO,NL,105,441,85,122,13,5,0,39,57,,36,10,,3,,,
ansonca01,1892,1,CHN,NL,146,559,62,152,25,9,1,74,13,,67,30,,4,,,
broutda01,1892,1,BRO,NL,152,588,121,197,30,20,5,124,31,,84,30,,16,,,
brownpe01,1892,1,LS3,NL,21,77,10,19,4,0,0,4,5,,12,7,,0,,,
brownpe01,1892,2,CIN,NL,83,307,47,93,12,5,3,52,8,,40,26,,0,,,
ewingbu01,1892,1,NY1,NL,105,393,58,122,10,15,8,76,42,,38,26,,0,,,
galvipu01,1892,1,PIT,NL,12,41,4,5,1,0,0,4,0,,2,9,,0,,,
galvipu01,1892,2,SLN,NL,12,39,2,2,0,0,0,1,0,,1,10,,0,,,
wardjo01,1892,1,BRO,NL,148,614,109,163,13,3,1,47,88,,82,19,,3,,,
ansonca01,1893,1,CHN,NL,103,398,70,125,24,2,0,91,13,,68,12,,1,,,
broutda01,1893,1,BRO,NL,77,282,57,95,21,11,2,59,9,,52,10,,6,,,
brownpe01,1893,1,LS3,NL,57,220,38,78,11,3,1,37,8,,44,15,,2,,,
ewingbu01,1893,1,CL4,NL,116,500,117,172,28,15,6,122,47,,41,18,,0,,,
wardjo01,1893,1,NY1,NL,135,588,129,193,27,9,2,77,46,,47,5,,1,,,
ansonca01,1894,1,CHN,NL,84,343,85,133,29,4,5,100,17,,41,15,,3,7,,
broutda01,1894,1,BLN,NL,123,525,137,182,39,23,9,128,38,,67,9,,5,18,,
brownpe01,1894,1,SLN,NL,2,7,1,1,0,0,0,0,0,,0,0,,0,0,,
brownpe01,1894,2,BRO,NL,1,2,1,2,0,0,0,2,0,,1,0,,0,0,,
ewingbu01,1894,1,CL4,NL,53,211,32,53,12,4,2,39,18,,24,9,,0,2,,
wardjo01,1894,1,NY1,NL,138,549,102,146,12,5,0,79,39,,35,6,,1,20,,
ansonca01,1895,1,CHN,NL,122,474,87,159,23,6,2,91,12,,55,23,,3,13,,
broutda01,1895,1,BLN,NL,5,23,2,6,2,0,0,5,0,,1,1,,0,1,,
broutda01,1895,2,LS3,NL,24,97,13,30,10,1,2,15,1,,11,2,,0,0,,
ewingbu01,1895,1,CIN,NL,105,434,90,138,24,13,5,94,34,,30,22,,1,2,,
ansonca01,1896,1,CHN,NL,108,402,72,133,18,2,2,90,24,,49,10,,3,5,,
broutda01,1896,1,PHI,NL,57,218,42,75,13,3,1,41,7,,44,11,,4,1,,
ewingbu01,1896,1,CIN,NL,69,263,41,73,14,4,1,38,41,,29,13,,0,4,,
ansonca01,1897,1,CHN,NL,114,424,67,121,17,3,3,75,11,,60,27,,4,9,,
ewingbu01,1897,1,CIN,NL,1,1,0,0,0,0,0,0,0,,0,0,,1,0,,
broutda01,1904,1,NY1,NL,2,5,0,0,0,0,0,0,0,,0,0,,0,0,,
